SA2_code,y.liver.male,sd.liver.male,y.liver.female,sd.liver.female,y.liver.persons,sd.liver.persons
21152,0.09531017980432493,0.18475238124211762,0.058268908123975824,0.20041158736542902,0.08617769624105241,0.1629017407485265
21153,0.23111172096338664,0.14066626602299248,0.009950330853168092,0.1629354164742001,0.12221763272424911,0.12721730801440503
21154,0.12221763272424911,0.20837276445812308,0.04879016416943205,0.21490482912056305,0.058268908123975824,0.18389868710929042
21155,-0.030459207484708574,0.1761581363901746,0.02955880224154443,0.19517900438024927,-0.040821994520255166,0.15859649578230375
21156,0.2468600779315258,0.17109976628629484,-0.030459207484708574,0.19444697913157039,0.14842000511827322,0.15765553159214402
21157,0.01980262729617973,0.1615661272066496,-0.030459207484708574,0.1908412815687681,-0.01005033585350145,0.1506271826975326
21158,0.1570037488096647,0.15327607052510756,-0.08338160893905101,0.1841904824170054,0.0769610411361284,0.13240367116585944
21159,-0.2484613592984996,0.18001090541976655,-0.05129329438755058,0.19783955663712424,-0.21072103131565253,0.16075563604076296
21160,-0.01005033585350145,0.18042859196100935,-0.01005033585350145,0.21199767549064585,-0.020202707317519466,0.1634220917182947
21161,0.23111172096338664,0.15580696405672545,-0.020202707317519466,0.18197701221363896,0.16551443847757333,0.13915331247631735
21162,0.23901690047049992,0.18915748528081344,0.01980262729617973,0.21019376996395822,0.1906203596086497,0.17046335169710838
21163,0.22314355131420976,0.1803417413213184,-0.01005033585350145,0.20514919572934956,0.13976194237515863,0.16207291054271267
21164,0.1570037488096647,0.1596938165490158,0.009950330853168092,0.18096570547690874,0.11332868530700327,0.1422007155454186
21165,0.06765864847381486,0.16204273077389286,-0.06187540371808753,0.1693380310873203,-0.01005033585350145,0.1428966699319192
21166,-0.040821994520255166,0.17770749707562034,-0.05129329438755058,0.18304999700791394,-0.07257069283483537,0.1549400070399092
21167,-0.07257069283483537,0.1939058125422429,-0.040821994520255166,0.19973411537419616,-0.12783337150988489,0.17497181179940324
21168,-0.21072103131565253,0.20896525003102945,-0.020202707317519466,0.24690649160696923,-0.1743533871447778,0.19041032953568518
21169,-0.020202707317519466,0.1856083733202022,-0.11653381625595151,0.21633597755301645,-0.09431067947124129,0.16196644427829135
21170,0.08617769624105241,0.16629181356417375,-0.01005033585350145,0.1876146837374068,0.06765864847381486,0.14796724275408216
21171,-0.10536051565782628,0.21437308953972445,-0.16251892949777494,0.2284172814956313,-0.19845093872383832,0.18135443241505256
21172,0.04879016416943205,0.17166950848021065,-0.11653381625595151,0.18937552787221035,-0.05129329438755058,0.15608954732710784
21173,-0.2231435513142097,0.22769750134103034,-0.21072103131565253,0.2568319618767717,-0.3011050927839216,0.19759325970661942
21174,0.13976194237515863,0.18108892829640222,-0.030459207484708574,0.20158281687378463,0.08617769624105241,0.14560503070991357
21175,-0.040821994520255166,0.15468686683048277,-0.01005033585350145,0.1767972308544461,-0.05129329438755058,0.13178952233259014
21176,-0.09431067947124129,0.19361715393107334,0.01980262729617973,0.21349607328315082,-0.06187540371808753,0.1693380310873203
21177,-0.040821994520255166,0.15468686683048277,-0.06187540371808753,0.1693380310873203,-0.10536051565782628,0.13820150721193858
21178,0.09531017980432493,0.19434897917961572,-0.08338160893905101,0.2250285985769729,0.009950330853168092,0.17022417017189223
21179,0.17395330712343798,0.187944379439757,-0.05129329438755058,0.212212453048704,0.09531017980432493,0.1650000791091123
21180,0.11332868530700327,0.23060465497094756,-0.08338160893905101,0.24256311056891566,0,0.21026002593205764
21181,-0.12783337150988489,0.23689061639341724,-0.020202707317519466,0.24044812585598785,-0.12783337150988489,0.20299005547089036
21182,0.13976194237515863,0.18727329591494554,-0.030459207484708574,0.20158281687378463,0.08617769624105241,0.16629181356417375
21183,0.02955880224154443,0.24349938781985073,0.131028262406404,0.26596781818024806,0.06765864847381486,0.2178763231440266
21184,0.09531017980432493,0.23979777002333447,0.10436001532424286,0.2578599777023732,0.10436001532424286,0.21748379374384055
21185,-0.07257069283483537,0.19014045167610893,0.09531017980432493,0.20995276661435047,-0.030459207484708574,0.1686549999668606
21186,-0.07257069283483537,0.23358831307422462,0.01980262729617973,0.2576152559381645,-0.08338160893905101,0.19565622519866793
21187,-0.05129329438755058,0.22962725221679509,0.058268908123975824,0.23798960245459505,-0.05129329438755058,0.20865700952008495
21188,0.03922071315328133,0.1800109054197665,-0.020202707317519466,0.20686995311641038,0,0.16061772440818042
